,index,temp,dew_point_temp,rel_hum,wind_speed,visibility,press,wind_chill,daily_demand,hmdxx,temp_min,temp_max,temp_mean,temp_median,dew_point_temp_min,dew_point_temp_max,dew_point_temp_mean,dew_point_temp_median,rel_hum_min,rel_hum_max,rel_hum_mean,rel_hum_median,visibility_min,visibility_max,visibility_mean,visibility_median,press_min,press_max,press_mean,press_median,hmdxx_min,hmdxx_max,hmdxx_mean,hmdxx_median,week_of_year,day_of_week,year,month,day,demand_rolling_mean_3,demand_rolling_std_7,temp_roll_mean,temp_roll_std,rel_hum_roll_mean,rel_hum_roll_std,demand_lag_1,rel_hum_lag_1,wind_speed_lag_1,demand_lag_2,rel_hum_lag_2,wind_speed_lag_2,demand_lag_3,rel_hum_lag_3,wind_speed_lag_3,demand_lag_4,rel_hum_lag_4,wind_speed_lag_4,demand_lag_5,rel_hum_lag_5,wind_speed_lag_5,demand_lag_6,rel_hum_lag_6,wind_speed_lag_6,demand_lag_7,rel_hum_lag_7,wind_speed_lag_7,temp_humidity_interaction,temp_wind_speed_interaction
763,763,-17.029166666666665,-22.495833333333334,62.958333333333336,8.5,27.325000000000003,100.68541666666668,-23.0,18602.166666666668,-22.00319652640413,-19.8,-12.4,-17.029166666666665,-17.65,-24.9,-16.5,-22.495833333333334,-23.200000000000003,43.0,77.0,62.958333333333336,64.0,24.1,32.2,27.325000000000003,25.0,100.59,100.89,100.68541666666668,100.65,-24.883399355185173,-17.082980060273083,-22.00319652640413,-22.63587377738008,1,3,1970,1,1,19195.94444444445,1010.6559661401549,-11.295833333333333,4.8439711717723,69.51190476190476,5.3263688406318925,19560.0,63.833333333333336,21.041666666666668,19425.666666666668,70.91666666666667,15.041666666666666,19176.541666666668,73.5,12.875,18842.875,69.45833333333333,26.916666666666668,18613.166666666668,78.125,28.541666666666668,16555.25,67.79166666666667,17.833333333333332,16827.375,84.625,42.375,-1072.1279513888887,-144.74791666666664
764,764,-16.675,-21.041666666666668,69.41666666666667,11.791666666666666,30.33333333333333,100.94583333333333,-23.5,18211.5,-21.5685185937491,-20.5,-12.2,-16.675,-16.75,-24.4,-15.4,-21.041666666666668,-21.35,53.0,82.0,69.41666666666667,71.0,25.0,40.2,30.33333333333333,25.0,100.79,101.02,100.94583333333333,100.95,-25.570817423521486,-16.751864494108,-21.5685185937491,-21.652568088936512,1,3,1970,1,1,18791.222222222223,488.90836019898217,-12.738095238095239,4.706591017704278,69.74404761904762,5.2740536150470385,18602.166666666668,62.958333333333336,8.5,19560.0,63.833333333333336,21.041666666666668,19425.666666666668,70.91666666666667,15.041666666666666,19176.541666666668,73.5,12.875,18842.875,69.45833333333333,26.916666666666668,18613.166666666668,78.125,28.541666666666668,16555.25,67.79166666666667,17.833333333333332,-1157.5229166666668,-196.62604166666665
765,765,-14.35,-18.7375,69.41666666666667,22.041666666666668,19.2875,100.38833333333334,-23.291666666666668,19809.666666666668,-19.10440061572548,-17.6,-10.9,-14.35,-14.05,-23.0,-15.3,-18.7375,-18.35,63.0,78.0,69.41666666666667,69.0,9.7,25.0,19.2875,19.3,99.89,100.92,100.38833333333334,100.35,-22.607978507258306,-15.426957583062952,-19.10440061572548,-18.791453688126417,1,3,1970,1,1,18874.44444444445,567.1266320807977,-14.264880952380953,2.4774408759138526,68.5,3.784333568219817,18211.5,69.41666666666667,11.791666666666666,18602.166666666668,62.958333333333336,8.5,19560.0,63.833333333333336,21.041666666666668,19425.666666666668,70.91666666666667,15.041666666666666,19176.541666666668,73.5,12.875,18842.875,69.45833333333333,26.916666666666668,18613.166666666668,78.125,28.541666666666668,-996.1291666666667,-316.29791666666665
766,766,-10.372916666666669,-15.225,68.02083333333333,14.416666666666666,29.5,100.78125,-17.08695652173913,19245.125,-14.872721458235109,-13.6,-7.1,-10.372916666666669,-9.55,-17.2,-13.4,-15.225,-15.1,54.0,82.0,68.02083333333333,70.5,25.0,40.2,29.5,25.0,100.42,101.09,100.78125,100.835,-18.261034458717795,-11.566652373358888,-14.87272145823511,-14.000952774851193,1,3,1970,1,1,19088.76388888889,558.2495950440926,-14.357440476190476,2.284118204882063,68.29464285714286,3.762602830425195,19809.666666666668,69.41666666666667,22.041666666666668,18211.5,69.41666666666667,11.791666666666666,18602.166666666668,62.958333333333336,8.5,19560.0,63.833333333333336,21.041666666666668,19425.666666666668,70.91666666666667,15.041666666666666,19176.541666666668,73.5,12.875,18842.875,69.45833333333333,26.916666666666668,-705.5744357638889,-149.54288194444447
767,767,-1.7041666666666666,-4.608333333333333,80.83333333333333,23.58333333333333,15.933333333333332,99.25833333333333,-9.75,18357.166666666668,-4.701827832827955,-9.1,2.8,-1.7041666666666666,-1.0,-12.9,1.6,-4.608333333333333,-4.0,66.0,93.0,80.83333333333333,77.5,3.2,25.0,15.933333333333332,19.3,98.62,100.35,99.25833333333333,99.16,-13.38650329118866,1.0517390747661275,-4.701827832827955,-4.019295069425086,1,3,1970,1,1,19137.31944444445,632.0995511070664,-12.695535714285713,5.339081433223631,69.3422619047619,5.879109294040144,19245.125,68.02083333333333,14.416666666666666,19809.666666666668,69.41666666666667,22.041666666666668,18211.5,69.41666666666667,11.791666666666666,18602.166666666668,62.958333333333336,8.5,19560.0,63.833333333333336,21.041666666666668,19425.666666666668,70.91666666666667,15.041666666666666,19176.541666666668,73.5,12.875,-137.7534722222222,-40.18993055555555
769,769,1.6291666666666669,-0.8333333333333334,83.70833333333333,19.95833333333333,23.3125,98.49958333333332,-4.0,16941.75,-0.717503418887805,0.0,3.4,1.629166666666667,1.9,-3.5,1.2,-0.8333333333333334,0.05,76.0,91.0,83.70833333333333,85.0,14.5,40.2,23.3125,24.1,97.86,98.96,98.49958333333332,98.54,-2.874269180921372,1.5438381899354283,-0.717503418887805,-0.201219504163203,1,3,1970,1,1,17534.472222222223,1007.5438067743288,-7.914285714285714,8.739735913494787,75.42857142857143,10.895732798710497,17304.5,93.64583333333331,18.95833333333333,18357.166666666668,80.83333333333333,23.58333333333333,19245.125,68.02083333333333,14.416666666666666,19809.666666666668,69.41666666666667,22.041666666666668,18211.5,69.41666666666667,11.791666666666666,18602.166666666668,62.958333333333336,8.5,19560.0,63.833333333333336,21.041666666666668,136.3748263888889,32.515451388888884
770,770,0.2291666666666666,-0.3583333333333333,95.95833333333331,12.708333333333334,8.041666666666666,98.30375,-3.4285714285714284,16085.166666666666,-2.005067718213016,-1.0,1.8,0.2291666666666666,0.3,-3.0,1.8,-0.3583333333333332,0.3,84.0,100.0,95.95833333333331,99.5,0.4,25.0,8.041666666666666,2.8,97.12,98.99,98.30375,98.49,-3.7341331458942935,0.1067428693450232,-2.005067718213016,-1.788874317062513,1,3,1970,1,1,16777.13888888889,1308.1436656385545,-5.4488095238095235,8.15457596496093,80.14285714285714,11.70964571388489,16941.75,83.70833333333333,19.95833333333333,17304.5,93.64583333333331,18.95833333333333,18357.166666666668,80.83333333333333,23.58333333333333,19245.125,68.02083333333333,14.416666666666666,19809.666666666668,69.41666666666667,22.041666666666668,18211.5,69.41666666666667,11.791666666666666,18602.166666666668,62.958333333333336,8.5,21.99045138888888,2.9123263888888884
771,771,-1.3625,-4.5,79.41666666666667,29.75,12.725,97.485,-15.2,15780.541666666666,-4.352701023058658,-9.6,3.1,-1.3625,1.15,-13.6,2.1,-4.5,-2.25,67.0,100.0,79.41666666666667,78.0,2.8,24.1,12.725,12.9,97.09,98.69,97.485,97.19,-13.955790081487836,1.217296075933499,-4.352701023058659,-1.462954115108254,1,3,1970,1,1,16269.15277777778,1542.3541267270748,-3.261309523809524,6.533977019862891,81.57142857142857,10.7539550294972,16085.166666666666,95.95833333333331,12.708333333333334,16941.75,83.70833333333333,19.95833333333333,17304.5,93.64583333333331,18.95833333333333,18357.166666666668,80.83333333333333,23.58333333333333,19245.125,68.02083333333333,14.416666666666666,19809.666666666668,69.41666666666667,22.041666666666668,18211.5,69.41666666666667,11.791666666666666,-108.20520833333335,-40.534375000000004
772,772,-14.520833333333334,-18.591666666666665,71.16666666666667,29.291666666666668,30.391666666666666,99.27666666666666,-25.125,18951.541666666668,-19.27141369958573,-17.5,-11.0,-14.520833333333334,-14.55,-21.5,-15.4,-18.591666666666665,-18.4,65.0,79.0,71.16666666666667,71.0,19.3,40.2,30.391666666666666,25.0,98.76,99.49,99.27666666666666,99.35,-22.43252270416873,-15.526957583062952,-19.27141369958573,-19.29500298510215,1,3,1970,1,1,16939.083333333336,1365.7352175746623,-3.2857142857142856,6.582436035519436,81.82142857142857,10.44005608216116,15780.541666666666,79.41666666666667,29.75,16085.166666666666,95.95833333333331,12.708333333333334,16941.75,83.70833333333333,19.95833333333333,17304.5,93.64583333333331,18.95833333333333,18357.166666666668,80.83333333333333,23.58333333333333,19245.125,68.02083333333333,14.416666666666666,19809.666666666668,69.41666666666667,22.041666666666668,-1033.3993055555557,-425.33940972222223
773,773,-10.666666666666666,-15.3,69.0,13.333333333333334,29.512500000000003,99.10208333333333,-16.652173913043477,19054.166666666668,-15.119177020259364,-17.1,-6.0,-10.666666666666666,-8.1,-21.7,-7.4,-15.300000000000002,-13.35,59.0,90.0,69.0,68.0,4.8,40.2,29.512500000000003,25.0,98.26,99.49,99.10208333333333,99.305,-22.03783218138205,-9.603052396393585,-15.119177020259364,-12.410921776101643,1,3,1970,1,1,17928.750000000004,1326.9768326169642,-3.3276785714285713,6.6358681725730735,81.96130952380952,10.22875245661835,18951.541666666668,71.16666666666667,29.291666666666668,15780.541666666666,79.41666666666667,29.75,16085.166666666666,95.95833333333331,12.708333333333334,16941.75,83.70833333333333,19.95833333333333,17304.5,93.64583333333331,18.95833333333333,18357.166666666668,80.83333333333333,23.58333333333333,19245.125,68.02083333333333,14.416666666666666,-736.0,-142.22222222222223
774,774,-6.608333333333333,-9.022916666666667,83.29166666666667,17.208333333333332,14.7625,97.96604166666668,-12.826086956521738,18250.541666666668,-10.417858887598287,-11.6,-4.5,-6.608333333333333,-6.0,-14.7,-6.5,-9.022916666666667,-8.649999999999999,70.0,93.0,83.29166666666667,83.0,1.2,32.2,14.762499999999998,16.1,97.59,98.46,97.96604166666668,97.905,-16.05778108723485,-8.233736799882802,-10.417858887598287,-9.730263333035705,1,3,1970,1,1,18752.083333333336,1316.016234260004,-4.028273809523809,6.694519491980266,82.3125,10.225771670147573,19054.166666666668,69.0,13.333333333333334,18951.541666666668,71.16666666666667,29.291666666666668,15780.541666666666,79.41666666666667,29.75,16085.166666666666,95.95833333333331,12.708333333333334,16941.75,83.70833333333333,19.95833333333333,17304.5,93.64583333333331,18.95833333333333,18357.166666666668,80.83333333333333,23.58333333333333,-550.4190972222223,-113.71840277777777
775,775,-10.129166666666666,-14.608333333333334,70.58333333333333,13.666666666666666,30.445833333333336,98.83166666666666,-16.375,18268.291666666668,-14.570244446645006,-14.8,-6.7,-10.129166666666666,-10.05,-19.0,-11.8,-14.608333333333334,-14.35,51.0,88.0,70.58333333333333,71.5,24.1,40.2,30.445833333333336,25.0,98.42,99.35,98.83166666666666,98.82,-19.58556903029393,-11.19287850080536,-14.570244446645006,-14.443692060666754,1,3,1970,1,1,18524.33333333334,1344.5591816119659,-5.918452380952381,6.1950117408746745,79.01785714285714,9.665614680032078,18250.541666666668,83.29166666666667,17.208333333333332,19054.166666666668,69.0,13.333333333333334,18951.541666666668,71.16666666666667,29.291666666666668,15780.541666666666,79.41666666666667,29.75,16085.166666666666,95.95833333333331,12.708333333333334,16941.75,83.70833333333333,19.95833333333333,17304.5,93.64583333333331,18.95833333333333,-714.9503472222221,-138.43194444444444
776,776,-11.991666666666667,-16.658333333333335,69.33333333333333,10.75,29.629166666666663,99.37833333333332,-17.708333333333332,18311.041666666668,-16.602119004278475,-17.4,-6.5,-11.991666666666667,-12.0,-20.1,-13.1,-16.658333333333335,-16.35,53.0,82.0,69.33333333333333,75.0,24.1,40.2,29.629166666666663,25.0,99.12,99.62,99.37833333333332,99.35,-22.253713715975863,-10.93984210376668,-16.602119004278475,-16.5952273718532,1,3,1970,1,1,18276.625000000004,1329.149496735603,-7.864285714285715,5.532969813790396,76.96428571428571,10.023422470187944,18268.291666666668,70.58333333333333,13.666666666666666,18250.541666666668,83.29166666666667,17.208333333333332,19054.166666666668,69.0,13.333333333333334,18951.541666666668,71.16666666666667,29.291666666666668,15780.541666666666,79.41666666666667,29.75,16085.166666666666,95.95833333333331,12.708333333333334,16941.75,83.70833333333333,19.95833333333333,-831.4222222222222,-128.91041666666666
777,777,-8.9375,-12.070833333333333,78.16666666666667,11.916666666666666,18.0,98.43083333333334,-13.61904761904762,17078.833333333332,-13.096016486640318,-14.1,-4.5,-8.9375,-7.4,-16.7,-7.1,-12.070833333333333,-11.2,69.0,88.0,78.16666666666667,79.5,2.4,25.0,18.0,19.3,98.02,99.09,98.43083333333334,98.39,-18.723345479204152,-8.289242727330684,-13.096016486640318,-11.491380251094306,1,3,1970,1,1,17886.05555555556,1155.3821714279013,-9.173809523809524,4.229388824409567,74.42261904761905,5.748411041092267,18311.041666666668,69.33333333333333,10.75,18268.291666666668,70.58333333333333,13.666666666666666,18250.541666666668,83.29166666666667,17.208333333333332,19054.166666666668,69.0,13.333333333333334,18951.541666666668,71.16666666666667,29.291666666666668,15780.541666666666,79.41666666666667,29.75,16085.166666666666,95.95833333333331,12.708333333333334,-698.6145833333334,-106.50520833333333
778,778,-12.691666666666668,-17.604166666666668,67.41666666666667,20.541666666666668,30.59583333333333,99.02958333333332,-20.875,17019.666666666668,-17.365038355362316,-17.0,-8.6,-12.691666666666668,-11.8,-21.6,-11.9,-17.604166666666668,-17.4,45.0,84.0,67.41666666666667,67.0,24.1,40.2,30.59583333333333,25.0,98.12,99.49,99.02958333333332,99.205,-21.93783218138205,-12.781241739534645,-17.365038355362316,-16.391106880097084,1,3,1970,1,1,17469.847222222223,809.6454281016494,-10.792261904761904,2.59324200577718,72.70833333333334,5.799954102627918,17078.833333333332,78.16666666666667,11.916666666666666,18311.041666666668,69.33333333333333,10.75,18268.291666666668,70.58333333333333,13.666666666666666,18250.541666666668,83.29166666666667,17.208333333333332,19054.166666666668,69.0,13.333333333333334,18951.541666666668,71.16666666666667,29.291666666666668,15780.541666666666,79.41666666666667,29.75,-855.6298611111113,-260.70798611111115
779,779,-4.845833333333333,-9.4125,70.66666666666667,14.333333333333334,25.475,99.49,-11.105263157894736,18270.375,-8.656219258686816,-10.5,1.8,-4.845833333333333,-4.0,-14.4,-2.4,-9.4125,-9.85,61.0,81.0,70.66666666666667,71.0,19.3,32.2,25.475000000000005,24.1,99.29,99.62,99.49,99.535,-14.930773549408396,-1.010458907299254,-8.656219258686816,-7.940415279858109,1,3,1970,1,1,17456.291666666668,732.1579767440419,-9.410119047619048,2.841213365138493,72.63690476190476,5.82512886748003,17019.666666666668,67.41666666666667,20.541666666666668,17078.833333333332,78.16666666666667,11.916666666666666,18311.041666666668,69.33333333333333,10.75,18268.291666666668,70.58333333333333,13.666666666666666,18250.541666666668,83.29166666666667,17.208333333333332,19054.166666666668,69.0,13.333333333333334,18951.541666666668,71.16666666666667,29.291666666666668,-342.4388888888889,-69.45694444444445
782,782,0.6458333333333334,-0.0458333333333333,95.16666666666669,13.125,9.525,99.76375,-3.0,16994.958333333332,-1.527915178967248,0.0,1.4,0.6458333333333334,0.7,-0.5,0.5,-0.0458333333333333,-0.1,88.0,99.0,95.16666666666669,96.0,4.8,16.1,9.525,9.7,99.69,99.85,99.76375,99.77,-2.212515200371614,-0.6383937307725147,-1.527915178967248,-1.584735555317664,1,3,1970,1,1,17061.40277777778,618.266413358197,-4.544047619047619,6.859702196128862,81.98809523809526,13.665771360530673,16862.041666666668,98.25,11.458333333333334,17327.208333333332,94.91666666666669,11.25,18270.375,70.66666666666667,14.333333333333334,17019.666666666668,67.41666666666667,20.541666666666668,17078.833333333332,78.16666666666667,11.916666666666666,18311.041666666668,69.33333333333333,10.75,18268.291666666668,70.58333333333333,13.666666666666666,61.46180555555557,8.4765625
785,785,4.083333333333333,-3.533333333333333,58.25,22.291666666666668,31.600000000000005,99.16375,-4.0,14808.75,1.151145448464944,-0.3,8.2,4.083333333333333,3.75,-6.4,-1.8,-3.533333333333333,-3.25,45.0,75.0,58.25,59.0,25.0,40.2,31.600000000000005,28.6,98.72,99.42,99.16375,99.26,-3.3483664983668007,5.57477725194435,1.151145448464944,0.7757308190786283,1,3,1970,1,1,15723.16666666667,1137.6359745245134,1.6273809523809522,3.113990660019147,84.0,16.123995087836793,15594.458333333334,73.79166666666667,39.25,16766.291666666668,96.95833333333331,17.041666666666668,16994.958333333332,95.16666666666669,13.125,16862.041666666668,98.25,11.458333333333334,17327.208333333332,94.91666666666669,11.25,18270.375,70.66666666666667,14.333333333333334,17019.666666666668,67.41666666666667,20.541666666666668,237.85416666666666,91.02430555555556
786,786,0.7833333333333333,-3.8041666666666663,71.875,7.041666666666667,25.5875,99.57125,-3.8181818181818175,16545.958333333332,-2.205312684085822,-1.7,5.0,0.7833333333333333,0.55,-5.1,-2.5,-3.804166666666666,-3.65,51.0,86.0,71.875,73.0,19.3,32.2,25.587499999999995,25.0,99.39,99.72,99.57125,99.57,-4.8298123049898685,1.89590541107834,-2.205312684085822,-2.4222879141665024,1,3,1970,1,1,15649.722222222224,890.8985641310172,2.431547619047619,1.4413391911759867,84.17261904761905,15.963127155147921,14808.75,58.25,22.291666666666668,15594.458333333334,73.79166666666667,39.25,16766.291666666668,96.95833333333331,17.041666666666668,16994.958333333332,95.16666666666669,13.125,16862.041666666668,98.25,11.458333333333334,17327.208333333332,94.91666666666669,11.25,18270.375,70.66666666666667,14.333333333333334,56.302083333333336,5.5159722222222225
