,temp_min,temp_max,temp_mean,temp_median,temp_max_hour,temp_min_hour,dew_point_temp_min,dew_point_temp_max,dew_point_temp_mean,dew_point_temp_median,dew_point_temp_max_hour,dew_point_temp_min_hour,rel_hum_min,rel_hum_max,rel_hum_mean,rel_hum_median,rel_hum_max_hour,rel_hum_min_hour,visibility_min,visibility_max,visibility_mean,visibility_median,visibility_max_hour,visibility_min_hour,press_min,press_max,press_mean,press_median,press_max_hour,press_min_hour,hmdxx_min,hmdxx_max,hmdxx_mean,hmdxx_median,hmdxx_max_hour,hmdxx_min_hour,sun_set,sun_rise,hourly_demand,day_of_week,week_of_year,year
1994-01-23,-10.2,2.0,-4.8625,-5.1,23.0,2.0,-14.7,-0.4,-6.579166666666667,-6.2,22.0,0.0,68.0,99.0,87.83333333333333,89.0,18.0,0.0,0.2,25.0,7.379166666666666,3.8,0.0,17.0,98.77,100.44,99.43041666666666,99.41,0.0,18.0,-14.486503291188662,-0.26081955594280837,-8.221108799486926,-8.515163042240673,23.0,2.0,18.0,8.0,16126.0,6.0,3.0,1994.0
1994-01-24,-6.9,1.9,-1.1333333333333335,-0.45,0.0,23.0,-9.6,0.1,-3.858333333333333,-3.1,0.0,23.0,75.0,93.0,81.79166666666667,81.5,7.0,10.0,6.4,25.0,16.2375,12.9,20.0,2.0,98.87,100.51,99.67666666666666,99.67,23.0,0.0,-10.808591924133099,-0.23886406043080788,-4.094445170783021,-3.1241393407103146,0.0,23.0,18.0,8.0,16951.0,0.0,4.0,1994.0
1994-01-25,-14.3,-6.5,-9.395833333333334,-8.9,1.0,23.0,-17.3,-9.6,-13.620833333333332,-13.3,2.0,23.0,58.0,80.0,71.29166666666667,72.5,2.0,15.0,2.4,40.2,22.787499999999998,24.1,17.0,23.0,100.54,101.07,100.805,100.825,23.0,0.0,-18.968404568357617,-10.421393065773547,-13.733383020801538,-13.211427416086904,1.0,23.0,18.0,8.0,18473.0,1.0,4.0,1994.0
1994-01-26,-22.0,-15.1,-18.8625,-18.6,0.0,9.0,-29.7,-17.8,-23.1875,-22.8,0.0,9.0,50.0,81.0,69.125,69.5,5.0,9.0,2.4,32.2,21.495833333333334,25.0,9.0,0.0,101.11,101.94,101.68166666666667,101.81,19.0,0.0,-27.253849936175897,-19.804436939910367,-23.86508194618065,-23.593567860460055,0.0,9.0,18.0,8.0,19806.0,2.0,4.0,1994.0
1994-01-27,-20.6,0.4,-10.275,-12.7,22.0,1.0,-25.6,-0.9,-12.65,-15.450000000000001,23.0,0.0,62.0,94.0,82.54166666666667,81.5,16.0,0.0,1.6,11.3,5.508333333333333,4.8,0.0,8.0,99.34,101.74,100.57666666666667,100.725,0.0,23.0,-25.70767751064961,-2.0478228634949196,-14.244189395324705,-17.221438353616517,22.0,1.0,18.0,8.0,17653.0,3.0,4.0,1994.0
1994-01-28,-0.5,4.5,1.8,1.6,14.0,23.0,-3.8,3.3,0.5125000000000001,0.85,13.0,21.0,74.0,100.0,91.41666666666667,94.5,9.0,21.0,0.2,25.0,8.85,6.4,19.0,13.0,97.11,99.27,97.98416666666667,97.875,0.0,14.0,-3.4334744531139143,3.212192244048766,-0.20266202033358635,-0.355532303808313,14.0,23.0,18.0,8.0,16471.0,4.0,4.0,1994.0
1994-01-29,-12.2,-2.8,-8.583333333333334,-9.1,0.0,23.0,-15.8,-5.1,-12.333333333333334,-12.8,0.0,23.0,65.0,84.0,74.33333333333333,75.0,0.0,12.0,4.0,40.2,21.05,24.55,8.0,17.0,98.34,100.17,99.50666666666666,99.71,23.0,0.0,-16.751864494108,-6.029812304989868,-12.785630674807754,-13.4540708345514,0.0,23.0,18.0,8.0,16997.0,5.0,4.0,1994.0
1994-01-30,-20.7,-13.0,-17.229166666666668,-17.15,0.0,9.0,-25.6,-17.1,-22.09583333333333,-22.6,0.0,10.0,55.0,79.0,66.16666666666667,65.5,3.0,18.0,25.0,32.2,26.8,25.0,12.0,0.0,100.24,101.01,100.7475,100.81,12.0,0.0,-25.807677510649608,-17.653608949662726,-22.18006095843928,-22.08651739333987,0.0,9.0,18.0,8.0,17962.0,6.0,4.0,1994.0
1994-01-31,-22.2,-11.5,-17.458333333333332,-17.55,16.0,8.0,-26.3,-16.7,-22.083333333333332,-21.85,16.0,8.0,49.0,82.0,67.875,70.0,21.0,15.0,25.0,40.2,29.700000000000003,25.0,12.0,0.0,100.07,100.67,100.35541666666667,100.405,0.0,23.0,-27.3456326017306,-16.12334547920415,-22.40599894308302,-22.50080061444195,16.0,8.0,18.0,8.0,18666.0,0.0,5.0,1994.0
1994-02-01,-18.4,-11.0,-14.483333333333334,-13.7,12.0,3.0,-21.3,-16.3,-18.4875,-18.200000000000003,11.0,0.0,60.0,85.0,72.25,75.0,8.0,12.0,11.3,40.2,26.75,25.0,12.0,8.0,99.92,100.19,100.03125,100.00999999999999,20.0,4.0,-23.32177937141521,-15.661034458717797,-19.229308796425475,-18.33833591641046,12.0,3.0,18.0,8.0,18483.0,1.0,5.0,1994.0
