,temp,dew_point_temp,rel_hum,visibility,press,daily_demand,hmdxx,year,month,day_of_week,week_of_year,sun_set
117,2.8791666666666664,-3.158333333333333,65.29166666666667,29.041666666666668,100.74833333333332,15034.458333333334,0.0311144324946147,1994,4,3,17,21.0
118,8.941666666666666,3.779166666666667,70.625,19.35833333333333,99.92375,14799.5,7.975882206686396,1994,4,4,17,21.0
119,5.020833333333333,1.1875,77.0,24.23333333333333,99.97208333333332,13697.375,3.1854195431474657,1994,4,5,17,21.0
120,5.504166666666666,2.841666666666667,83.79166666666667,17.420833333333334,99.06,13552.75,4.152518752644284,1994,5,6,17,21.0
121,6.366666666666667,-0.775,63.16666666666666,34.5,100.13416666666666,14881.25,4.0285338935950055,1994,5,0,18,21.0
122,8.566666666666666,-3.1208333333333336,46.79166666666666,33.833333333333336,100.535,14569.083333333334,5.72090158821937,1994,5,1,18,21.0
123,9.854166666666666,2.0500000000000003,59.29166666666666,26.5375,100.10791666666668,14371.375,8.282808442458078,1994,5,2,18,21.0
124,11.7125,6.720833333333334,72.04166666666667,19.741666666666667,99.35791666666668,14446.833333333334,11.656818546756108,1994,5,3,18,21.0
125,7.462499999999999,4.575,82.0,25.370833333333337,99.19416666666666,14576.75,6.654101809259372,1994,5,4,18,21.0
126,8.695833333333333,5.166666666666667,79.29166666666667,21.566666666666663,99.27916666666664,13167.291666666666,8.070744900282678,1994,5,5,18,21.0
127,11.966666666666669,4.995833333333334,65.5,27.820833333333336,98.75833333333333,12270.875,11.291612660276304,1994,5,6,18,21.0
128,10.804166666666667,5.858333333333333,71.95833333333333,24.7875,98.65958333333332,14295.458333333334,10.470780557502971,1994,5,0,19,21.0
129,10.5875,1.9166666666666667,57.083333333333336,33.86666666666667,99.5225,14312.583333333334,8.937080570024854,1994,5,1,19,21.0
130,11.066666666666668,4.979166666666667,66.83333333333333,19.5875,98.89166666666668,14732.916666666666,10.476155362967516,1994,5,2,19,21.0
131,8.933333333333334,2.1041666666666665,64.04166666666667,32.487500000000004,98.90916666666668,14621.708333333334,7.407961283128238,1994,5,3,19,21.0
132,8.245833333333334,0.8208333333333333,60.208333333333336,35.13333333333333,99.75958333333334,14410.25,6.355367048645124,1994,5,4,19,21.0
133,10.758333333333333,-1.8583333333333332,44.5,33.86666666666667,99.66166666666668,12949.25,8.171463276211513,1994,5,5,19,21.0
134,10.641666666666667,7.283333333333334,82.54166666666667,9.908333333333331,98.57833333333332,12787.625,11.022177819367926,1994,5,6,19,21.0
135,8.129166666666666,5.866666666666667,85.70833333333333,27.375,98.68375,14852.416666666666,7.771112331574305,1994,5,0,20,21.0
136,8.0,4.066666666666666,76.95833333333333,34.800000000000004,99.72125,14739.875,7.0006566213970345,1994,5,1,20,21.0
137,9.770833333333334,3.8958333333333335,67.45833333333333,34.5,99.88375,14460.166666666666,8.736606202426337,1994,5,2,20,21.0
138,11.866666666666667,6.883333333333333,72.125,26.600000000000005,99.97125,14263.958333333334,11.85422550935325,1994,5,3,20,21.0
139,15.041666666666666,5.583333333333333,58.375,31.575000000000003,99.83166666666666,13894.75,14.602773930750551,1994,5,4,20,21.0
140,18.60833333333333,9.620833333333334,57.875,34.5,99.75208333333336,12510.333333333334,19.755512382464925,1994,5,5,20,21.0
141,21.27083333333333,12.170833333333334,57.625,24.383333333333336,99.49916666666668,12219.75,23.66614743760294,1994,5,6,20,21.0
142,18.070833333333333,11.108333333333334,65.08333333333333,31.77916666666667,99.17,12385.458333333334,19.949472386850903,1994,5,0,21,21.0
143,14.3,9.508333333333333,75.08333333333333,24.975,99.045,14149.041666666666,15.440329847017964,1994,5,1,21,21.0
144,14.491666666666667,11.825,84.66666666666667,9.358333333333333,98.353125,14233.166666666666,16.695848816330983,1994,5,2,21,21.0
145,8.0375,6.729166666666667,91.41666666666669,9.65,98.295,14742.208333333334,8.102568489317308,1994,5,3,21,21.0
146,8.7125,0.5625,59.833333333333336,34.5,99.39208333333332,14354.708333333334,6.695367520501288,1994,5,4,21,21.0
147,11.975,5.170833333333333,63.79166666666666,28.125,99.44833333333334,13008.208333333334,11.440661242592194,1994,5,5,21,21.0
148,16.929166666666667,9.825,65.04166666666667,22.40416666666667,99.56166666666668,12307.75,18.17533128646524,1994,5,6,21,21.0
149,20.85,11.225,55.375,22.27083333333333,99.51958333333332,14391.458333333334,22.77721661208354,1994,5,0,22,21.0
150,20.53333333333333,15.220833333333331,72.66666666666667,21.49166666666667,98.95708333333334,14817.875,24.70029800952488,1994,5,1,22,21.0
151,12.316666666666668,5.033333333333333,63.083333333333336,33.12083333333334,98.96333333333332,14141.875,11.821876707575685,1994,6,2,22,21.0
152,11.433333333333332,5.054166666666666,65.91666666666667,33.86666666666667,99.58666666666666,14142.708333333334,10.767851560172664,1994,6,3,22,21.0
153,15.7,5.3125,54.125,35.13333333333333,99.94416666666666,14197.375,15.112275771388315,1994,6,4,22,21.0
154,17.016666666666666,3.2875,43.5,35.13333333333333,99.74208333333333,12826.75,15.777527659912252,1994,6,5,22,21.0
155,18.133333333333333,7.116666666666667,50.625,35.13333333333333,99.48541666666668,12456.75,18.21740462403243,1994,6,6,22,21.0
156,18.075,12.095833333333331,68.75,16.804166666666667,98.58583333333333,14702.833333333334,20.58345461858539,1994,6,0,23,21.0
157,16.458333333333332,12.429166666666667,77.83333333333333,15.904166666666669,98.865,14571.5,19.02213090895453,1994,6,1,23,21.0
158,12.183333333333332,4.558333333333334,62.16666666666666,34.5,99.65833333333336,14194.791666666666,11.352600077566064,1994,6,2,23,21.0
159,15.995833333333332,6.1375,56.333333333333336,34.5,99.64375,14439.583333333334,15.739004189893327,1994,6,3,23,21.0
160,16.245833333333334,5.0875,49.625,27.325000000000003,99.79166666666669,14305.416666666666,15.587726303809228,1994,6,4,23,21.0
161,16.791666666666668,9.15,62.125,24.379166666666663,99.39583333333331,12998.291666666666,17.904627373955282,1994,6,5,23,21.0
162,18.320833333333333,13.3625,75.79166666666667,22.4875,99.085,12679.708333333334,21.34045067090366,1994,6,6,23,22.0
163,18.875,15.820833333333333,82.66666666666667,18.85,99.09916666666668,14953.208333333334,23.429058871033348,1994,6,0,24,22.0
164,19.9375,15.620833333333332,77.29166666666667,29.39166666666667,99.44208333333334,15274.75,24.32235608942672,1994,6,1,24,22.0
165,21.23333333333333,17.087500000000002,77.79166666666667,8.5,99.99416666666669,16374.208333333334,26.658159718156856,1994,6,2,24,22.0
166,25.65416666666667,20.33333333333333,73.91666666666667,5.920833333333333,100.04458333333334,17622.0,33.60542849468761,1994,6,3,24,22.0
167,27.7625,20.016666666666666,64.79166666666667,17.51666666666667,99.94375,18359.58333333333,35.361153056429394,1994,6,4,24,22.0
168,28.15416666666667,18.6375,59.625,29.58333333333333,99.74333333333334,17162.791666666668,34.682408437348776,1994,6,5,24,22.0
169,24.354166666666668,16.6375,63.16666666666666,29.75,99.91166666666668,15698.166666666666,29.46810866664994,1994,6,6,24,22.0
170,21.266666666666666,13.604166666666666,63.16666666666666,32.15416666666667,99.69208333333334,16591.416666666668,24.412125332378924,1994,6,0,25,22.0
171,24.204166666666666,13.275,55.125,24.82916666666667,98.79708333333332,16856.458333333332,27.48710924134133,1994,6,1,25,22.0
172,21.725,10.3875,51.5,34.5,99.09625,16042.625,23.19395650861736,1994,6,2,25,22.0
173,21.2125,12.254166666666668,58.458333333333336,21.541666666666668,98.94833333333334,15990.625,23.6447616795294,1994,6,3,25,22.0
174,16.029166666666665,15.05,93.95833333333331,10.204166666666667,98.23708333333332,14989.0,20.03931193710112,1994,6,4,25,22.0
175,16.5125,14.454166666666666,88.25,12.983333333333334,97.87208333333332,13413.458333333334,20.17917627782212,1994,6,5,25,22.0
176,20.03333333333333,13.4375,67.625,32.925000000000004,98.675,12983.0,23.082872419637425,1994,6,6,25,22.0
177,16.974999999999998,14.691666666666668,86.79166666666667,24.479166666666668,98.94083333333332,14838.125,20.763527855354837,1994,6,0,26,22.0
178,20.454166666666666,15.0125,71.75,32.82083333333333,98.85625,15186.458333333334,24.43595036350428,1994,6,1,26,22.0
179,18.70833333333333,16.408333333333335,86.75,13.783333333333331,98.325,15331.875,23.621959240432133,1994,6,2,26,22.0
180,18.679166666666667,15.554166666666667,82.45833333333333,22.15,98.77958333333332,14951.333333333334,23.030323527810054,1994,6,3,26,22.0
181,21.195833333333333,15.004166666666668,69.33333333333333,23.55,99.27166666666666,13028.583333333334,25.2086188091908,1994,7,4,26,22.0
182,20.416666666666668,14.595833333333331,69.66666666666667,26.941666666666663,99.31208333333332,13035.416666666666,24.235373461443885,1994,7,5,26,22.0
183,17.716666666666665,8.454166666666667,57.875,33.92916666666667,100.18,12275.833333333334,18.35669121656981,1994,7,6,26,22.0
184,19.48333333333333,10.379166666666666,58.083333333333336,27.175,100.10208333333333,14663.416666666666,20.972115863607588,1994,7,0,27,22.0
185,24.22083333333333,18.654166666666665,72.20833333333333,21.92083333333333,99.44666666666666,16213.625,30.872626304035247,1994,7,1,27,22.0
186,25.929166666666664,21.64583333333333,78.66666666666667,12.883333333333333,99.34916666666668,17234.916666666668,34.99028680391891,1994,7,2,27,22.0
187,24.58333333333333,20.55,78.91666666666667,14.7625,99.43458333333332,17212.583333333332,32.63993868690298,1994,7,3,27,22.0
188,25.3875,21.08333333333333,77.875,10.533333333333331,99.40166666666666,17329.333333333332,33.92794659435038,1994,7,4,27,22.0
189,23.941666666666663,18.6,73.375,21.57916666666667,99.18666666666668,15045.458333333334,30.585626562349287,1994,7,5,27,22.0
190,18.65,12.9125,70.04166666666667,32.20416666666667,99.61,12785.291666666666,21.465723471216418,1994,7,6,27,22.0
191,19.079166666666666,9.529166666666669,56.75,34.5,99.88541666666669,14551.125,20.16706543068049,1994,7,0,28,22.0
192,23.620833333333334,16.729166666666668,65.91666666666667,22.258333333333336,99.26875,15502.75,28.96023943623197,1994,7,1,28,21.0
193,21.5125,13.6125,62.875,30.541666666666668,99.61333333333332,15613.833333333334,24.776383789276508,1994,7,2,28,21.0
194,18.35,11.970833333333331,67.625,31.5,99.78666666666668,14638.625,20.606418276146734,1994,7,3,28,21.0
195,20.695833333333333,16.45,77.0,16.095833333333335,99.435,14823.333333333334,25.69224646610136,1994,7,4,28,21.0
196,21.60833333333333,13.933333333333332,63.54166666666666,32.68333333333334,99.88125,13625.125,24.94728286305063,1994,7,5,28,21.0
197,21.0625,13.870833333333332,65.33333333333333,33.0875,99.87666666666668,13357.291666666666,24.36371900686328,1994,7,6,28,21.0
198,22.425,16.008333333333333,68.79166666666667,20.27083333333333,99.43125,15822.75,27.073115842049585,1994,7,0,29,21.0
199,24.40416666666667,14.9125,59.083333333333336,27.42083333333333,99.63125,16393.291666666668,28.359275413743187,1994,7,1,29,21.0
200,23.329166666666666,18.875,76.29166666666667,12.329166666666667,99.70708333333332,16600.666666666668,30.130212732315105,1994,7,2,29,21.0
201,26.075,20.529166666666665,73.33333333333333,9.925,99.23125,17120.0,34.1275055805536,1994,7,3,29,21.0
202,23.691666666666663,20.241666666666667,82.0,11.870833333333332,98.79583333333332,16509.083333333332,31.48078540971828,1994,7,4,29,21.0
